Symbol,Price,Type,Strike,DTE,"Exp Date",Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
$IUXX,6669.64,Put,4100.00,31,02/15/19,0.30,0.33,0.35,0.30,1,33,0.03,55.58%,01/15/19
$IUXX,6669.64,Put,5575.00,59,03/15/19,27.00,27.85,28.70,28.80,3,61,0.05,32.59%,01/15/19
$IUXX,6669.64,Call,4500.00,3,01/18/19,2155.50,2165.3,2175.10,2060.55,4,9,0.44,0.00%,01/14/19
$IUXX,6669.64,Call,6075.00,31,02/15/19,623.90,630.35,636.80,595.28,6,26,0.23,24.88%,01/10/19
$IUXX,6669.64,Call,6510.00,3,01/18/19,158.60,164.1,169.60,82.35,1,5,0.2,17.56%,01/14/19
$IUXX,6669.64,Put,6725.00,3,01/18/19,77.40,81.05,84.70,79.00,23,27,0.85,19.58%,01/15/19
$IUXX,6669.64,Put,6460.00,3,01/18/19,4.20,5.05,5.90,7.00,2,4,0.5,26.92%,01/15/19
$IUXX,6669.64,Call,6675.00,59,03/15/19,227.30,229.55,231.80,224.00,14,7,2,19.67%,01/15/19
$IUXX,6669.64,Put,7025.00,3,01/18/19,350.20,359.6,369.00,480.60,2,35,0.06,36.83%,01/14/19
$IUXX,6669.64,Call,6550.00,3,01/18/19,124.30,129.25,134.20,68.60,17,56,0.3,18.70%,01/14/19
$IUXX,6669.64,Put,6350.00,3,01/18/19,1.10,1.78,2.45,1.75,34,111,0.31,28.34%,01/15/19
$IUXX,6669.64,Call,6525.00,59,03/15/19,321.70,324.7,327.70,333.94,11,190,0.06,21.35%,01/09/19
$IUXX,6669.64,Put,4600.00,59,03/15/19,2.80,3.4,4.00,5.20,7,234,0.03,40.86%,01/14/19
$IUXX,6669.64,Call,6025.00,59,03/15/19,711.10,715.55,720.00,678.10,42,75,0.56,23.95%,01/09/19
$IUXX,6669.64,Put,5200.00,3,01/18/19,0.00,0.1,0.20,0.21,18,240,0.08,0.00%,01/14/19
$IUXX,6669.64,Call,5925.00,31,02/15/19,761.20,767.95,774.70,717.10,1,1,1,24.28%,01/09/19
$IUXX,6669.64,Call,7800.00,31,02/15/19,0.00,0.38,0.75,0.47,15,55,0.27,19.72%,01/15/19
